dep,type,idx,name,latitude,longitude
Haute-Garonne,B,95,Quartier maison d’arrêt du centre pénitentiaire de Toulouse-Seysses,43.4891313,1.3256596861606846
Gironde,B,96,Quartier maison d’arrêt du centre pénitentiaire de Bordeaux-Gradignan,44.7831752,-0.5958830816715681
Hérault,B,97,Quartier maison d’arrêt du centre pénitentiaire de Béziers,43.339656500000004,3.1803971140205203
Hérault,B,98,Quartier maison d’arrêt du centre pénitentiaire de Villeneuve-lès-Maguelone,43.546221,3.8264792285453595
Ille-et-Vilaine,B,99,Quartier maison d’arrêt du centre pénitentiaire de Rennes,48.1005113,-1.6741917920901563
Ille-et-Vilaine,B,100,Quartier maison d’arrêt du centre pénitentiaire de Rennes-Vezin-le-Coquet,48.10876575,-1.7368903130181876
Ille-et-Vilaine,B,101,Maison d’arrêt de Saint-Malo,48.6476581,-1.993645867063929
Indre,B,102,Quartier maison d’arrêt du centre pénitentiaire de Châteauroux,46.7933552,1.7221461465377266
Indre-et-Loire,B,103,Maison d’arrêt de Tours,47.37731155,0.6916794224088972
Isère,B,104,Quartier maison d’arrêt du centre pénitentiaire de Grenoble-Varces,45.099436049999994,5.686251662459265
Isère,B,105,Quartier maison d’arrêt du centre pénitentiaire de Saint-Quentin-Fallavier,45.6583028,5.12521801963557
Jura,B,106,Maison d’arrêt de Lons-le-Saunier,46.6741795,5.556600844096431
Landes,B,107,Quartier maison d’arrêt du centre pénitentiaire de Mont-de-Marsan,43.895194000000004,-0.4498092924905801
Loir-et-Cher,B,108,Maison d’arrêt de Blois,47.5971091,1.33900429171746
Loire,B,109,Quartier maison d’arrêt du centre pénitentiaire de Saint-Etienne-La Talaudière,45.472960900000004,4.415608826768538
Haute-Loire,B,110,Maison d’arrêt du Puy-en-Velay,45.03622865,3.8859526715452684
Loire-Atlantique,B,111,Quartier maison d’arrêt du centre pénitentiaire de Nantes,47.26716765,-1.5059618837965592
Loiret,B,112,Quartier maison d’arrêt du centre pénitentiaire d’Orléans-Saran,47.9650823,1.8727090320257642
Lot-et-Garonne,B,113,Maison d’arrêt d’Agen,44.1991837,0.6178443482223859
Lozère,B,114,Maison d’arrêt de Mende,44.5163697,3.4931149596922273
Maine-et-Loire,B,115,Maison d’arrêt d’Angers,47.47461199999999,-0.5409678480713109
Manche,B,116,Maison d’arrêt de Cherbourg,49.6374225,-1.6236970694791362
Manche,B,117,Maison d’arrêt de Coutances,49.050647600000005,-1.441332029602055
Marne,B,118,Maison d’arrêt de Châlons-en-Champagne,48.96266035,4.367600242072109
Marne,B,119,Maison d’arrêt de Reims,49.27061675,4.028680688608649
Haute-Marne,B,120,Maison d’arrêt de Chaumont,48.1064063,5.132874983531167
Mayenne,B,121,Maison d’arrêt de Laval,48.06639775,-0.7830058013228067
Meurthe-et-Moselle,B,122,Maison d’arrêt de Nancy-Maxéville,48.7073024,6.151035827669377
Meuse,B,123,Maison d’arrêt de Bar-le-Duc,48.76836605,5.160303104139072
Morbihan,B,124,Quartier maison d’arrêt du centre pénitentiaire de Lorient-Ploemeur,47.726339249999995,-3.4156513990699526
Morbihan,B,125,Maison d’arrêt de Vannes,47.6601024,-2.7630427541880778
Moselle,B,126,Quartier maison d’arrêt du centre pénitentiaire de Metz,49.09891025,6.20926448368301
Moselle,B,127,Maison d’arrêt de Sarreguemines,49.105979250000004,7.057644707877701
Nièvre,B,128,Maison d’arrêt de Nevers,46.99250495,3.1562351870489342
Nord,B,129,Maison d’arrêt de Douai,50.3766109,3.0598654
Nord,B,130,Maison d’arrêt de Dunkerque,51.0398625,2.3813026595175533
Nord,B,131,Quartier maison d’arrêt du centre pénitentiaire de Lille-Annœullin,50.5122116,2.939155076782866
Nord,B,132,Quartier maison d’arrêt du centre pénitentiaire de Lille-Loos-Sequedin,50.620497,2.967030033522555
