Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Sergey Shipilov,"The Velsk Chikatilo, The Velsk Maniac, The Arkhangelsk Chikatilo",,1959-05-17,"Arkhangelsk, Arkhangelsk Oblast, RSFSR",,,Murder,life imprisonment,1999-10-10
Dorángel Vargas,El comegente,,1957-05-14,"Cao Zancudo,Mrida,Venezuela",,,,,1999-02-01
Hua Ruizhuo,,,,,2002-01-31,"Beijing, China",Murder,death,2001-07-26
Denis Pischikov,"The Shivering Creature, Urals Raskolnikov",,1983-04-12,"Bulanash, Sverdlovsk Oblast, RSFSR",,,Murder,life imprisonment,2003-04-05
Abdufatto Zamanov,The Krasnoyarsk Chikatilo,,1973-04-07,"Somoniyon, Central District, Tajik SSR",,,Murder,life imprisonment,2004-12-09
Jeong Nam-Gyu,,40.0,1969-04-17,"Jangsu County, South Korea",2009-11-22,"Seoul Detention Center, South Korea",Murder,death,
Amir Qayyum,The Brick Killer,,,Pakistan,,,Murder,death,2005-07-18
Denis Kazungu,,,,,,,Murder,life imprisonment,2023-09-05
Jake Bird,The Tacoma Ax-Killer,,,,1949-07-15,,First Degree Murder,death,1947-10-30
Cleveland Torso Murderer,The Mad Butcher of Kingsbury Run,,,,,,,,
Kaspars Petrovs,,,,"Grobia, Latvia",,,May,Life,2003-02-01
Peter Sutcliffe,"Peter Coonan, Yorkshire Ripper",74.0,1946-06-02,"Shipley, West Riding of Yorkshire, England",2020-11-13,"Durham, England",,life imprisonment (whole life order),1981-01-02
Fosaville Serial Killer,"Newls serial killer, Durban,s Killing Fields",,,,,,,,
William Suff,"William Lester Suff, The Riverside Prostitute Killer, The Lake Elsinore Killer",,1950-08-20,,,,"Attempted Murder, Murder","deathpenalty on October 26, 1995 (de jure)",1992-01-09
Richard Ramirez,"The Night Stalker, The Walk-In Killer, The Valley Intruder",53.0,1960-02-29,,2013-06-07,,"First-Degree Murder, Second-Degree Murder, Rape, First-Degree Burglary",19 death sentences,1985-08-31
Sleepy Hollow Killer,Sleepy Hollow Murderer,,,,,,,,
Francisco Antonio Laureana,The Satyr of San Isidro,,,"Corrientes, Argentina",1975-02-27,"San Isidro, Argentina",,,
Joseph James Deangelo,"Visalia Ransacker, East Area Rapist, East Side Rapist, East Bay Rapist, Creek Bed Killer, Diamond Knot Killer, Original Night Stalker, EARONSGolden State Killer",,1945-11-08,,,,"First-Degree Murder With Special Circumstances, Kidnapping",13 consecutive life sentence(s) without the possibility of parole plus 8 years,2018-04-24
Tamara Samsonova,"The Granny Ripper, Baba Yaga",,1947-04-25,"Uzhur, Krasnoyarsk Krai, RSFSR, Soviet Union",,,Murder,,2015-01-01
Herbert Mullin,,75.0,1947-04-18,,2022-08-18,,Murder,life imprisonment,1973-02-13
Vladimir Storozhenko,The Smolensk Strangler,,,"Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union",,"Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union",Murder With Aggravating Circumstances,death,1981-07-21
Johannes Mashiane,The Beast of Atteridgeville,,,Johannes MashianeSouth Africa,,"Marabastad, Pretoria, South Africa",,,
Vasiliy Kulik,"The Irkutsk Monster, The Murder Doctor, The Murderer",33.0,1956-01-17,"Irkutsk, Irkutsk Oblast, RSFSR",1989-06-26,"Angarsk Colony, Irkutsk Oblast, RSFSR","Murder, Rape, Assault",death,1986-01-17
Nikolai Dudin,"The Grim Maniac, The Furmanov Chikatilo",,1973-12-22,"Mikhalkovo, Ivanovo Oblast, RSFSR",,,Murder,life imprisonment,2002-07-17
Mukosi Freddy Mulaudzi,The Limpopo Serial Killer,,,"Maelula, Limpopo, South Africa",,,Murder,11 life sentence(s),2006-07-01
Duan Guocheng,"The Red-Dress Killer, The Red-Dress Slasher, The Wuhan Slasher",,,"Wuhan, Hubei, China",,,Murder,life imprisonment,2001-08-15
Nikolay Shubin,"The Cemetery Director, Valre Bomzh, The Chess Player",,,"Tbilisi, Georgian SSR",,,Murder,Compulsory treatment,2006-10-01
Thozamile Taki,The Sugarcane Killer,,," Johns, South Africa",,,"Murder, Armed Robbery",13 life sentence(s) (208 years for armed robbery),2007-01-01
Rainbow Maniac,,,,,,,,,
