Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Robbery with violence,Pskov Oblast,2008,130,18.6
Robbery with violence,Saint Petersburg,2008,1587,33.3
Robbery with violence,Republic of Dagestan,2008,139,5.0
Robbery with violence,Republic of Ingushetia,2008,28,6.9
Robbery with violence,Kabardino-Balkar Republic,2008,84,9.8
Robbery with violence,Karachay-Cherkess Republic,2008,68,14.6
Robbery with violence,Republic of North Ossetia-Alania,2008,82,11.5
Robbery with violence,Chechen Republic,2008,37,3.1
Robbery with violence,Stavropol Krai,2008,481,17.4
Robbery with violence,Republic of Adygea,2008,34,7.8
Robbery with violence,Republic of Kalmykia,2008,27,9.3
Robbery with violence,Republic of Crimea,2008,NaN,NaN
Robbery with violence,Krasnodar Krai,2008,532,10.3
Robbery with violence,Astrakhan Oblast,2008,265,26.3
Robbery with violence,Volgograd Oblast,2008,416,15.9
Robbery with violence,Rostov Oblast,2008,962,22.4
Robbery with violence,Sevastopol,2008,NaN,NaN
Robbery with violence,Republic of Bashkortostan,2008,480,11.8
Robbery with violence,Mari El Republic,2008,167,23.7
Robbery with violence,Republic of Mordovia,2008,66,7.7
Robbery with violence,Republic of Tatarstan,2008,652,17.3
Robbery with violence,Udmurt Republic,2008,459,29.9
Robbery with violence,Chuvash Republic,2008,115,9.1
Robbery with violence,Perm Krai,2008,1357,50.7
Robbery with violence,Kirov Oblast,2008,145,10.5
Robbery with violence,Nizhny Novgorod Oblast,2008,767,22.8
Robbery with violence,Orenburg Oblast,2008,289,14.1
Robbery with violence,Penza Oblast,2008,100,7.1
Robbery with violence,Samara Oblast,2008,1126,35.0
Robbery with violence,Saratov Oblast,2008,408,15.9
Robbery with violence,Ulyanovsk Oblast,2008,357,27.1
Robbery with violence,Kurgan Oblast,2008,143,15.3
Robbery with violence,Sverdlovsk Oblast,2008,1208,28.0
Robbery with violence,Tyumen Oblast,2008,485,36.9
Robbery with violence,Khanty–Mansi Autonomous Okrug – Yugra,2008,302,20.3
Robbery with violence,Yamalo-Nenets Autonomous Okrug,2008,38,7.3
Robbery with violence,Chelyabinsk Oblast,2008,1109,31.8
Robbery with violence,Altai Republic,2008,34,16.7
Robbery with violence,Republic of Buryatia,2008,147,15.2
Robbery with violence,Tuva Republic,2008,77,25.3
Robbery with violence,Republic of Khakassia,2008,77,14.5
Robbery with violence,Altai Krai,2008,315,12.8
