Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Mozambique,SSA,Sub Saharn Africa,26,142,8,1.893434,26,147,8,1.98776,25,149,9,1.597154,26,146,9,2.977371,23,158,8,2.64,25,153,8,2.87,27,8,2.57,31,7,1.97,31,7,1.89,30,7,2,31,7,1.6
Uganda,SSA,Sub Saharn Africa,26,142,8,1.489444,27,144,9,1.221429,27,142,9,1.153836,28,137,9,2.035011,26,149,9,2.13,26,151,9,2.11,25,9,2.24,25,8,3.19,26,8,3.03,26,8,3.3,29,8,2.2
Bangladesh,AP,Asia Pacific,25,147,8,1.927162,26,147,8,1.742484,26,146,8,1.715685,26,146,8,2.617282,26,149,8,2.63,28,143,8,3.19,26,7,4.13,25,7,4.3,25,7,4.23,27,7,4.1,26,7,4.1
Guinea,SSA,Sub Saharn Africa,25,147,7,1.602557,25,150,8,1.268435,28,137,8,1.878107,29,130,8,2.499444,28,138,6,2.67,27,148,7,2.37,27,5,2.54,25,6,3.16,25,7,3.21,24,7,3.6,24,7,2.7
Iran,MENA,Middle East and North Africa,25,147,7,2.322661,25,150,7,2.293519,25,149,7,2.55992,26,146,7,3.626302,28,138,7,2.89,30,130,7,3.51,29,7,2.47,27,6,3.28,27,6,4.72,25,6,3.9,28,6,4.6
Afghanistan,AP,Asia Pacific,24,150,4,6.299999,16,174,5,2.12416,19,165,5,2.440014,16,173,5,2.554536,16,172,5,1.41,15,177,5,1.39,15,5,1.74,11,4,3.49,12,4,1.29,8,3,3.3,8,3,3.3
Cambodia,AP,Asia Pacific,24,150,8,2.782431,23,157,8,2.842698,21,160,8,2.322713,20,162,8,3.409514,20,161,8,2.58,21,161,8,2.43,21,8,2.82,21,7,3.87,21,7,2.25,20,7,3,22,7,3.1
Central African Republic,SSA,Sub Saharn Africa,24,150,5,0.8079345,24,154,5,0.9885881,26,146,5,0.9326452,25,153,5,1.428002,26,149,5,1.14,23,156,5,3.28,20,4,4.04,24,4,1.44,24,4,1.33,25,4,5.4,26,4,2.4
Guatemala,AME,"North, Central, and South America",24,150,7,1.129734,25,150,7,1.173231,25,149,7,1.380452,26,146,7,2.231707,27,144,7,2.56,28,143,7,2.19,28,6,2.58,28,6,3.46,32,6,2.96,29,6,2.6,33,6,2.7
Nigeria,SSA,Sub Saharn Africa,24,150,8,1.60437,24,154,8,1.567548,25,149,8,1.44864,26,146,8,1.868129,27,144,9,2.03,27,148,9,1.97,28,9,1.98,26,8,2.24,27,8,2.82,25,9,3.1,27,9,2.7
Lebanon,MENA,Middle East and North Africa,24,150,7,0.8218693,24,154,7,0.7673878,25,149,7,1.153654,28,137,7,2.271487,28,138,7,2.28,28,143,7,2.11,28,7,2.5,28,6,3.22,27,6,3.37,28,6,3.3,30,6,2.3
Tajikistan,ECA,Europe and Central Asia,24,150,6,3.132439,25,150,6,3.968247,25,149,6,5.086641,25,153,6,6.659976,25,152,6,5.73,21,161,5,2.36,25,6,5.26,26,5,7.36,23,5,5.32,22,5,3.8,22,5,3.8
